"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"NDUFAF2","ENSG00000164182","protein_coding",91942,"5","SARS-CoV2 nsp7"
"NDUFB9","ENSG00000147684","protein_coding",4715,"8","SARS-CoV2 orf9c"
"NEK9","ENSG00000119638","protein_coding",91754,"14","SARS-CoV2 nsp9"
"NEU1","ENSG00000204386","protein_coding",4758,"6","SARS-CoV2 orf8"
"NGDN","ENSG00000129460","protein_coding",25983,"14","SARS-CoV2 nsp8"
"NGLY1","ENSG00000151092","protein_coding",55768,"3","SARS-CoV2 orf8"
"NIN","ENSG00000100503","protein_coding",51199,"14","SARS-CoV2 nsp13"
"NINL","ENSG00000101004","protein_coding",22981,"20","SARS-CoV2 nsp13"
"NLRX1","ENSG00000160703","protein_coding",79671,"11","SARS-CoV2 orf9c"
"NOL10","ENSG00000115761","protein_coding",79954,"2","SARS-CoV2 nsp8"
"NPC2","ENSG00000119655","protein_coding",10577,"14","SARS-CoV2 orf8"
"NPTX1","ENSG00000171246","protein_coding",4884,"17","SARS-CoV2 orf8"
"NSD2","ENSG00000109685","protein_coding",7468,"4","SARS-CoV2 nsp8"
"NUP210","ENSG00000132182","protein_coding",23225,"3","SARS-CoV2 nsp4"
"NUP214","ENSG00000126883","protein_coding",8021,"9","SARS-CoV2 nsp9"
"NUP54","ENSG00000138750","protein_coding",53371,"4","SARS-CoV2 nsp9"
"NUP58","ENSG00000139496","protein_coding",9818,"13","SARS-CoV2 nsp9"
"NUP62","ENSG00000213024","protein_coding",23636,"19","SARS-CoV2 nsp9"
"NUP88","ENSG00000108559","protein_coding",4927,"17","SARS-CoV2 nsp9"
"NUP98","ENSG00000110713","protein_coding",4928,"11","SARS-CoV2 orf6"
"NUTF2","ENSG00000102898","protein_coding",10204,"16","SARS-CoV2 nsp15"
"OS9","ENSG00000135506","protein_coding",10956,"12","SARS-CoV2 orf8"
"PABPC1","ENSG00000070756","protein_coding",26986,"8","SARS-CoV2 N"
"PABPC4","ENSG00000090621","protein_coding",8761,"1","SARS-CoV2 N"
"PCNT","ENSG00000160299","protein_coding",5116,"21","SARS-CoV2 nsp13"
"PCSK6","ENSG00000140479","protein_coding",5046,"15","SARS-CoV2 orf8"
"PDE4DIP","ENSG00000178104","protein_coding",9659,"1","SARS-CoV2 nsp13"
"PDZD11","ENSG00000120509","protein_coding",51248,"X","SARS-CoV2 nsp12"
"PIGO","ENSG00000165282","protein_coding",84720,"9","SARS-CoV2 orf9c"
"PIGS","ENSG00000087111","protein_coding",94005,"17","SARS-CoV2 orf9c"
"PITRM1","ENSG00000107959","protein_coding",10531,"10","SARS-CoV2 M"
"PKP2","ENSG00000057294","protein_coding",5318,"12","SARS-CoV2 nsp1"
"PLAT","ENSG00000104368","protein_coding",5327,"8","SARS-CoV2 orf8"
"PLD3","ENSG00000105223","protein_coding",23646,"19","SARS-CoV2 orf8"
